x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
1 259639 255431 259962 255379 249264 255431 256287 255625 257308 257879 247597 257046 256654 255431 258687 256417 258275 247362 255805 255431 255431 255625 258100 257379 
2 259188 259496 257615 257401 257401 258471 257401 257401 260162 260230 258946 259101 257401 257401 258471 257515 257515 257946 257401 258288 257401 258871 257401 257501 
3 269567 269567 273192 273624 269567 269567 269567 264936 269567 269567 272859 273272 270733 270721 270733 271814 270721 270721 269567 270721 264854 269567 264857 264356 
4 287856 290403 288355 289606 287375 287314 288941 287375 287732 289520 284964 291231 287744 283772 287856 288908 291997 287682 290960 289547 288010 289173 288750 290332 
5 258708 256548 256904 260300 256548 256548 257398 256571 257221 256571 259063 257421 256548 248670 256548 258869 256548 256548 256691 257354 249267 257154 249024 248424 
6 300538 301814 300500 300274 301683 298750 298665 298999 300485 300778 300510 298665 298665 298665 298665 299726 300200 299921 298764 298665 299015 298665 298750 299799 
7 330397 325331 297497 299589 327169 297496 302118 297497 298799 298799 327169 300619 305716 298118 300840 327782 303468 302711 324293 328324 298799 298502 297778 301143 
8 252850 251430 253908 250275 251438 251430 253704 253389 253889 250484 251476 252734 252850 251288 251288 251427 250125 252190 250803 253107 251580 250998 251913 252396 
9 282960 282960 282960 287212 285532 282960 283045 284860 282960 282960 283044 284577 282960 282960 284444 285707 285506 282960 284791 284640 282960 285566 284444 283649 
10 280694 280917 282524 281552 280848 280680 280848 280848 280848 280848 280694 280680 280694 280680 280680 280680 280917 280848 280848 280917 280680 280680 280680 280680 
11 314414 313581 314469 313711 314467 312670 312919 312919 313418 313581 312670 313581 313581 312670 312670 313380 312670 313479 312995 312995 313514 313711 312995 313180 
12 281429 282925 281820 282531 281059 281820 281429 281847 281806 281847 284073 283465 281059 281429 281429 282531 281649 284249 282565 281102 283668 281847 282891 282531 
13 264178 264074 264285 262032 262304 262551 263686 262720 266376 264866 262174 262168 265510 262593 261828 261828 266551 262174 263431 263937 262032 263431 262304 262174 
14 328932 328360 328360 330294 307452 328360 329734 305513 329976 330129 328644 306709 307276 329575 328644 328982 329114 328360 307256 329667 332669 309091 307614 305841 
15 305678 315980 316558 314564 316252 315864 317270 316018 315068 316423 317609 315111 315322 315864 317524 307269 317300 315068 305114 316018 307974 315068 304069 315864 
16 280009 280402 280852 280831 280158 278508 280608 278317 278362 278758 280030 281628 279737 278408 278061 279612 279798 281782 280034 279097 280158 278688 278124 278701 
17 212216 211392 213062 211808 210383 210212 210212 210683 211953 211723 211361 210673 210164 210212 210212 210981 211344 210212 211859 211784 211125 210212 211164 210818 
18 246814 246814 247404 246551 247131 245848 246431 245848 246814 245884 246237 247520 246577 245848 246431 245848 247802 246438 245884 246524 245848 246033 246297 245848 
