x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
1 27 42 68 86 51 97 122 147 40 76 83 94 76 126 163 185 47 75 110 114 81 157 243 267 
2 29 52 56 73 44 87 98 139 41 66 82 94 66 136 179 216 48 72 105 121 82 137 196 280 
3 21 51 65 79 38 86 120 136 38 59 82 90 73 118 209 187 44 73 115 131 88 150 232 258 
4 26 36 56 66 41 89 121 128 34 54 98 107 82 137 154 205 40 77 117 117 97 137 226 229 
5 23 44 63 54 47 72 98 127 30 58 85 97 65 122 155 232 37 68 102 133 88 142 194 233 
6 28 51 67 88 50 106 185 159 39 80 98 127 74 158 233 293 56 105 131 136 109 200 243 328 
7 30 71 71 81 53 86 174 169 50 70 119 115 85 166 196 237 47 97 134 140 109 169 246 243 
8 28 45 70 70 58 86 121 148 50 82 105 117 69 135 175 198 52 100 107 147 87 153 223 256 
9 27 49 63 105 56 92 170 158 45 65 101 101 92 124 208 276 68 89 121 122 97 184 249 261 
10 27 53 87 108 72 89 135 142 43 67 98 132 74 171 208 247 62 102 115 162 113 177 255 318 
11 29 54 66 69 65 97 159 154 43 74 90 124 78 132 237 206 50 82 110 147 99 183 260 279 
12 23 41 59 62 46 100 94 163 52 73 92 91 85 115 183 179 48 84 115 127 79 145 199 235 
13 29 66 66 82 54 120 145 209 47 86 118 118 86 151 204 249 60 108 121 146 99 193 251 333 
14 32 48 82 74 60 112 128 124 47 69 102 118 99 171 215 235 57 88 116 136 83 160 244 259 
15 22 52 63 68 41 122 126 170 36 79 99 104 72 121 196 217 39 77 112 130 79 143 239 254 
16 18 50 56 52 55 89 128 133 33 62 88 85 71 102 150 199 39 70 108 113 69 142 168 216 
17 23 28 40 44 26 53 81 99 26 49 57 87 48 85 119 161 29 62 73 86 56 149 219 157 
18 17 38 42 41 39 75 93 94 26 55 62 71 48 94 148 183 32 58 82 102 59 116 174 206 
19 16 31 42 53 44 67 78 97 31 50 72 79 55 98 135 170 35 66 78 90 54 125 165 187 
20 18 36 61 63 36 78 95 126 28 79 81 93 69 117 162 191 40 75 101 131 69 148 182 236 
21 27 42 51 62 45 68 106 108 34 61 79 94 59 96 143 206 34 67 89 113 76 144 178 225 
