40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
1.03858e+06 914970 951857 958995 867382 877226 959478 882941 859675 905917 909347 917193 883139 932342 880318 885849 895153 815659 920747 857925 910037 868932 903130 877107 916286 870607 809014 88 0 25 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 2 0 1 2 1 1 1 1 1 2
1.03651e+06 965162 982097 977811 992590 909845 1.0145e+06 986327 894361 929269 1.04315e+06 936715 999192 944249 989834 892750 894580 944519 937469 1.03568e+06 956848 1.02065e+06 969181 1.02082e+06 910431 952704 940582 0 0 0 0 43 0 0 0 0 0 43 0 0 16 26 0 0 0 0 106 0 0 0 24 0 0 0 1 0 1 0 1 1 1 0 1 1 1 1 0 1 2 0 1 1 1 1 2 1 1 1 1 2 1
1.04144e+06 1.00731e+06 1.05166e+06 1.07857e+06 1.01975e+06 998418 1.01436e+06 1.00099e+06 975985 1.00169e+06 991383 959046 982303 982207 980031 945978 957256 923096 981792 953537 955490 960655 917212 896803 950251 972454 900678 0 0 10 55 0 0 0 0 0 28 0 0 0 0 13 0 7 0 16 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 0 2 0 1 2 0 1 2 1 1 1 1 2 1
908212 1.00426e+06 929234 1.00859e+06 969661 1.08495e+06 918993 883187 893798 939964 953736 923309 979034 894236 908332 958657 915866 879627 931657 913711 955168 910382 900180 912059 923219 859967 925516 0 0 0 13 0 139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 2 0 2 1 1 1 2
928783 930700 904486 950112 1.01112e+06 892810 968052 874410 877042 898224 928438 895661 968707 937164 944044 877366 880898 944919 914812 905640 880879 883871 888681 953966 857494 894376 872325 0 0 0 3 55 0 56 0 0 0 0 0 58 0 59 0 0 60 0 0 0 0 19 87 0 32 0 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 2 1 1 2
1.05093e+06 1.10063e+06 995409 994649 984239 963235 988588 960690 997087 1.02412e+06 974618 1.00102e+06 1.04678e+06 995198 986068 996482 960914 968300 1.01669e+06 989238 1.01657e+06 1.00913e+06 978440 971631 1.00256e+06 966026 964274 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 1 2 1 1 1 1 2 1
1.04325e+06 1.0408e+06 987568 1.03933e+06 999651 992713 958923 1.02882e+06 971026 1.07343e+06 1.03113e+06 1.15298e+06 1.02099e+06 969870 1.01917e+06 1.00061e+06 987013 944881 981670 986585 1.03934e+06 950565 1.02702e+06 1.00672e+06 974294 977539 948676 0 0 0 0 0 54 0 19 0 13 0 164 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 2 0 1 2 1 1 2 0 2 1
938984 880346 877443 900036 901224 866859 877506 841302 830931 926337 874930 822539 812657 921306 846535 862005 819052 886668 869180 874967 845734 827776 841048 878556 839710 793831 835231 41 23 3 0 0 0 0 0 0 0 0 0 0 31 0 0 0 69 0 23 0 11 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 2 1 1 1 2 0 2 1
967043 846128 973915 835984 815749 798092 835836 826138 800961 835776 780705 824930 830920 823105 837794 780641 804873 833242 826632 830052 848847 872756 886594 835803 815278 813861 786419 10 0 98 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 1 0 123 3 0 11 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 2 0 2 2 1 1 2
849207 799837 816325 841462 833314 770553 820028 792429 929633 894062 822262 774226 824897 826803 825806 782570 793644 825940 837392 815828 777551 826882 771430 777524 757031 746851 788044 0 0 20 0 0 0 8 0 125 0 0 0 0 0 0 0 40 54 0 29 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 2 0 2 1 1 1 2
