40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
349713 340532 344568 335556 341275 324709 338593 343290 343662 315054 324380 322009 343473 320328 336852 331018 324423 328429 344348 313810 326900 328896 373567 339720 325241 304741 312670 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 18 0 61 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
321666 314923 324547 321244 337264 356825 327038 354219 312804 347845 341830 308369 356247 335044 327185 423807 314317 335054 316017 322137 347281 323650 329000 304342 328190 347474 304875 0 0 0 0 0 36 0 24 0 5 3 0 0 22 0 96 0 0 0 4 27 0 15 0 9 44 4 0 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1
424067 379112 353102 365016 335800 372729 360440 336878 393013 353706 340676 337397 346437 330758 323334 329397 324942 337094 341941 364946 319136 350781 354547 344558 343748 339996 334161 38 22 0 36 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
350026 346831 376291 355905 483000 391742 338500 367063 346330 352068 367186 361075 367189 356828 368634 351329 354820 451169 373479 344968 383948 424624 357732 351720 355305 319229 352141 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 105 0 5 0 44 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 1 0 1 1 1 0 1 1
338613 326658 315886 320005 321512 327521 336724 333764 317962 326232 343710 323014 321841 342084 322678 334892 322995 327614 325021 322857 315663 311244 315667 317333 296284 316657 337044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 6 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
424679 377837 366368 398210 392652 380602 385218 379957 360734 369008 386352 376906 380296 361219 388427 394424 401124 374494 418702 396717 378527 498332 378576 364970 373017 384087 383039 5 0 0 0 7 0 21 0 0 0 0 0 0 0 0 18 38 0 0 0 0 122 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
383458 393410 383294 373830 394987 361641 438726 360749 362040 419760 393660 408880 401969 442904 417241 411010 379655 374288 400789 385367 390090 382347 391528 393811 359618 383513 382611 0 0 0 0 0 0 48 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
313967 322950 315586 338172 326008 330597 321366 474648 307726 310127 361321 350023 321773 345492 302501 305232 326686 323870 330784 328668 323933 328807 320229 382657 305152 317082 302486 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 40 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1
380731 369162 381751 356554 399986 334211 364785 364698 357270 375558 370651 360736 368944 411931 359994 345148 353550 382171 366636 400100 376402 376681 375716 375958 354532 363359 358310 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 29 18 19 0 5 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 2 0 1 1 1 1 1
356004 369544 359055 341881 365078 351627 351070 370020 361618 433681 378290 365676 362059 365961 380801 369636 342323 361821 364749 366553 358460 376989 356398 390839 363246 365673 345610 0 0 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0 23 0 0 0 0 0 24 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 2
