40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
323282 316952 328928 321786 333387 316602 334567 318923 326988 333808 371988 336519 336537 333994 322604 313733 333697 307310 315224 313271 314792 351306 322938 321158 326939 314428 314368 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 0 2
328196 322148 336634 312781 343476 316942 319421 324218 306254 359104 317862 322044 334607 326470 387778 314701 333646 363637 335702 299899 337266 334856 322578 317492 323630 295155 298900 11 0 0 0 6 0 0 0 0 1 0 0 0 1 57 0 0 50 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 2
374018 345454 335814 350573 335030 350866 307802 354425 325619 339467 380134 348722 340837 361393 343487 411425 418222 329685 375039 341142 322272 361074 351664 358384 341738 441481 364948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 69 0 25 0 0 0 0 0 0 92 25 0 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 0 2 1
413696 373944 348558 376658 369338 363721 357354 352257 339495 356170 479722 373721 356236 342143 350725 334684 338054 350166 339846 353942 358031 375291 339016 357740 351029 361780 338894 31 30 0 0 0 0 0 0 0 0 129 0 0 0 0 0 0 0 6 17 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1
338559 303590 403299 342818 317418 328295 339591 321941 320073 322576 328651 325140 351699 317650 308140 320718 301009 316607 348861 338601 326626 307277 329203 318469 300587 357779 324034 0 0 83 18 0 12 0 0 0 4 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 42 2 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1
457408 394170 374064 399686 361523 381836 378400 382778 362704 395261 370746 371233 354300 389632 349672 418713 359307 358940 377713 389839 376268 368854 368737 373689 355299 365342 399425 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 46 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1
383138 394711 401105 392605 383075 387531 378141 392238 396529 384882 407512 384766 389184 402838 389800 400443 389759 370259 420676 419551 426133 412418 388737 387254 367655 363350 389676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
312069 318162 348387 320907 320315 343429 397213 304333 391300 326748 326956 333055 316031 320488 320450 327819 319276 403759 325881 336570 304132 360065 336728 327822 298207 309414 315299 0 0 0 0 0 11 75 0 58 0 0 0 0 0 0 0 0 86 0 40 0 36 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1
406996 365990 365290 373484 374612 359990 352998 376624 354065 432573 383838 386749 367231 372204 342038 345178 355724 360248 360600 365510 373045 364981 386062 368585 353834 344963 361982 37 0 0 0 0 0 0 56 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
373120 345891 365852 377083 379991 384397 358430 373381 341521 374395 373710 372944 373340 346719 339817 336670 352176 370020 365632 358394 353481 376162 347232 345341 361925 362386 360611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1
397458 430060 432076 401354 417616 406221 409222 398235 441786 404728 401141 390318 406398 417908 410255 380489 414914 420756 394891 413598 383296 416111 413799 416136 417777 410469 407025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 1 1
367005 388478 428204 407925 356846 364026 350194 342390 355440 370010 352030 358832 364965 341908 342118 379484 356273 336107 349737 362710 350520 370144 332112 373906 368351 355136 337456 0 0 35 19 0 0 1 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
357301 317773 348978 376073 355237 368746 351753 328023 395796 353960 328990 357931 341936 372628 406938 337439 335857 324172 339394 334625 344275 340325 351286 323872 362201 381028 334531 0 0 0 0 11 0 0 0 62 0 0 0 0 33 54 0 0 0 0 0 0 0 24 0 0 42 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 1
389792 384851 409861 389477 368856 377666 372352 363780 381888 375995 368260 402354 383511 386393 377012 403021 393387 354244 408419 365496 398644 373663 389800 393198 350178 378862 401695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1
423867 404638 392814 389289 385087 396580 391848 388194 400674 399716 375335 390646 396922 409557 388076 392707 395312 382285 393812 393762 379929 365235 416121 362017 371911 431281 367351 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 0 1
374526 388138 377106 373489 369510 359110 354071 376647 352372 369859 371693 373077 382720 374113 409373 345226 346267 369398 348315 373469 371618 360743 428992 352686 365414 369676 383911 0 34 9 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 48 0 0 0 25 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 2
276529 360660 372622 266149 267100 262860 267240 275888 261719 280645 272504 263390 266398 278306 253899 332899 249443 258801 274934 269190 261828 305739 300679 271814 264764 249104 249975 0 75 96 0 11 0 0 0 0 0 0 0 0 0 0 67 0 0 0 16 0 50 41 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
329800 297612 311405 338805 323851 331771 315325 309245 330638 317460 328275 326183 337621 304341 305110 344135 313016 316473 344336 311619 304209 322333 310117 318199 306515 302973 305663 0 0 0 11 0 0 11 0 0 0 0 0 0 0 0 37 0 10 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1
347479 323667 300798 342580 299697 318059 309910 312687 319809 326035 316786 322037 309888 369739 319571 301910 319668 310961 318046 305947 325574 303897 310201 283605 291728 335907 298482 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 0 0 29 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2
399410 371386 403400 373929 415202 402601 378774 392766 357382 392065 413254 396833 445503 384713 381208 385348 385702 407752 384602 361808 438408 387044 385881 385120 355172 366550 372975 0 0 0 0 13 0 0 0 0 5 25 0 45 0 0 0 0 29 0 0 67 0 14 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 2 0 1 1 1 1 1
360414 341072 338770 378152 349692 350197 330053 346179 338654 338537 336474 321918 335276 335220 323605 325860 321687 331945 343693 352558 331830 330895 323068 332560 324601 315154 330120 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1
