       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order        Vehicle_Routes
 1_10_3_1.0_0.5     12238.1      2115      3530     6593.1       52.2216    Feasible     3610.61	9-6-3-1-4-2-5-8-10-7    | 6-9-3-1 | 5-2-4 | 10-7-8 |
 2_10_3_1.0_0.5     11476.8      1871      3360     6245.8       48.7152    Feasible     3624.18	2-10-3-4-5-6-7-9-1-8    | 4-3-2-10 | 5-7-6-9 | 1-8 |
 3_10_3_1.0_0.5     13295.8      2098      3760     7437.8       49.7523    Feasible     3616.23	5-4-7-3-6-8-1-2-10-9    | 3-7-4-5 | 8-6-1 | 10-9-2 |
 4_10_3_1.0_0.5       13691      2440      3590       7656       45.5101    Feasible     3609.99	4-5-10-9-3-8-2-7-6-1    | 10-4-5 | 3-2-8-9 | 6-1-7 |
 5_10_3_1.0_0.5     17813.4      2199      5410    10204.4       53.3596    Feasible     3624.01	5-3-10-4-2-1-6-7-8-9    | 3-5-10 | 1-4-6-2 | 8-9-7 |
 1_10_3_1.0_1.0     12707.1      2227      3700     6780.1       49.2628    Feasible     3626.69	1-5-7-9-2-3-10-4-6-8    | 9-1-5-7 | 2-10-3 | 8-4-6 |
 2_10_3_1.0_1.0      9572.5      2430      2160     4982.5       52.5916    Feasible     3609.46	5-6-7-4-1-8-10-9-2-3    | 5-7-4-6 | 10-1-8-9 | 3-2 |
 3_10_3_1.0_1.0      9831.8      1898      2990     4943.8       44.7676    Feasible     3609.27	10-1-6-2-5-9-4-8-7-3    | 2-1-6-10 | 4-9-8-5 | 7-3 | 
 4_10_3_1.0_1.0       13540      2063      4750       6723       55.9288    Feasible     3608.86	9-5-8-4-2-7-10-3-1-6    | 9-5 | 8-4-7-2 | 1-6-10-3 |
 5_10_3_1.0_1.0        9455      2536      2450       4469       31.3333    Feasible     3609.65	10-5-6-7-9-8-4-3-1-2    | 5-6-10-7 | 8-4-9 | 3-1-2 |
 1_10_3_1.0_1.5     11684.3      2126      3380     6178.3        48.768    Feasible     3613.85	1-8-9-5-2-3-4-7-10-6    | 9-1-5-8 | 2-4-3-7 | 6-10 |
 2_10_3_1.0_1.5     12347.8      2680      3500     6167.8       43.9723    Feasible     3612.67	1-10-3-2-7-4-8-6-9-5    | 10-1-2-3 | 7-4 | 5-6-8-9 |
 3_10_3_1.0_1.5     10349.9      2044      4030     4275.9       52.7216    Feasible     3609.54	7-8-5-6-9-10-3-4-1-2    | 8-7 | 6-9-3-5-10 | 1-2-4 |
 4_10_3_1.0_1.5      8073.2      2060      2400     3613.2       31.9853    Feasible     3608.85	3-8-6-5-9-7-4-1-2-10    | 5-3-8-6 | 7-4-9 | 10-1-2 |
 5_10_3_1.0_1.5     12305.4      1728      5030     5547.4       56.6694    Feasible     3609.29	1-2-10-8-3-7-4-9-6-5    | 2-8-3-10-1 | 7-9-4 | 5-6 |
 1_10_3_1.0_2.0     10799.7      2171      3510     5110.7       46.6091    Feasible     3610.13	10-9-8-6-3-1-7-4-5-2    | 9-8-10 | 1-3-6 | 7-2-4-5 |
 2_10_3_1.0_2.0      9826.8      1803      3680     4337.8       44.6977    Feasible     3609.28	1-4-7-8-9-6-5-2-3-10    | 1-8-7-4-9 | 6-5 | 2-3-10 |
 3_10_3_1.0_2.0     13461.4      2202      4660     6599.4       55.5635    Feasible      3616.4	9-10-8-2-3-4-1-7-6-5    | 10-9-8 | 2-3-4 | 7-5-1-6 |
 4_10_3_1.0_2.0     10148.2      2042      3000     5106.2       47.8499    Feasible     3622.77	1-4-9-2-3-7-8-5-10-6    | 4-2-9-1 | 7-3-8 | 5-6-10 |
 5_10_3_1.0_2.0     10990.6      1962      3860     5168.6       38.5724    Feasible     3608.19	5-8-2-3-9-7-1-6-10-4    | 2-5-8 | 3-9-7-1 | 10-6-4 |
 1_10_3_1.0_2.5      9187.2      1997      2340     4850.2       50.5181    Feasible     3608.13	10-5-2-6-4-3-7-9-8-1    | 2-5-10-6 | 7-3-4 | 8-1-9 |
 2_10_3_1.0_2.5      9050.5      2216      2540     4294.5       40.1784    Feasible     3607.87	5-2-4-10-8-9-3-1-7-6    | 4-2-5 | 8-3-10-9 | 1-6-7 |
 3_10_3_1.0_2.5     12053.1      1809      4080     6164.1       24.9779    Feasible     3608.89	8-1-9-2-10-6-4-3-7-5    | 9-1-2-8 | 10-6-4 | 7-3-5 |
 4_10_3_1.0_2.5      9686.9      1919      3080     4687.9       55.6208    Feasible     3628.05	1-2-5-3-8-7-9-10-4-6    | 2-5-1 | 8-9-7-3 | 10-6-4 |
 5_10_3_1.0_2.5       11670      1997      3360       6313       50.1709    Feasible     3610.25	3-2-10-8-7-1-9-5-4-6    | 3-2-10-8 | 9-1-7 | 5-4-6 |
 1_10_3_1.5_0.5     12961.7      2171      3730     7060.7       50.5047    Feasible     3621.69	9-10-6-7-4-5-3-1-2-8    | 9-10 | 7-4-3-5-6 | 2-8-1 |
