       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                       Vehicle_Routes
 1_15_3_1.0_0.5     23098.5      2352      5040    15706.5       69.7669    Feasible     3618.04	1-5-15-8-13-6-9-11-14-12-4-3-7-2-10    | 1-15-13-8-5 | 4-11-12-9-14-6 | 2-3-10-7 |
 2_15_3_1.0_0.5     23191.2      2672      5685    14834.2        66.169    Feasible     3631.75	1-4-7-12-13-8-14-3-2-11-15-5-6-10-9    | 8-13-12-4-7-1 | 11-15-2-14-3 | 9-6-5-10 |
 3_15_3_1.0_0.5     29018.5      2062      7425    19523.5       67.9124    Feasible     3608.46	14-10-9-7-2-8-15-5-4-3-12-6-13-1-11    | 9-7-8-10-14-15-2 | 5-12-3-4 | 11-1-13-6 |
 4_15_3_1.0_0.5       25457      2636      5640      17181       69.3839    Feasible     3610.45	6-8-9-11-7-12-13-3-5-15-10-14-4-2-1    | 9-8-7-11-6 | 12-13-3-15-5 | 14-2-10-4-1 |
 5_15_3_1.0_0.5     26433.9      2510      5715    18208.9       69.9093    Feasible     3607.05	7-1-8-6-11-15-10-14-12-4-9-3-13-5-2    | 7-6-1-8 | 12-14-10-11-15 | 9-4-5-13-2-3 |
 1_15_3_1.0_1.0     31708.8      2594      9285    19829.8       63.9052    Feasible     3609.48	15-11-4-1-6-2-12-5-13-3-10-14-8-9-7    | 2-11-6-1-15-4 | 13-3-12-5 | 7-14-10-8-9 |
 2_15_3_1.0_1.0     22055.7      1968      4980    15107.7       68.7792    Feasible     3618.39	8-3-15-4-6-10-7-13-14-9-12-5-2-11-1    | 3-10-4-6-15-8 | 13-9-7-14 | 1-5-11-12-2 |
 3_15_3_1.0_1.0     30075.7      3321      7980    18774.7       64.4323    Feasible     3632.26	6-8-4-13-11-12-2-10-5-3-9-1-15-14-7    | 12-13-6-4-8-11 | 10-2-5-3 | 14-7-1-15-9 |
 4_15_3_1.0_1.0     30218.7      3340     10170    16708.7       57.8317    Feasible     3653.95	11-14-13-5-2-7-12-15-10-9-6-8-3-4-1    | 13-5-14-2-11 | 15-9-7-12-10 | 3-6-8-4-1 |
 5_15_3_1.0_1.0       26839      2428      6885      17526       65.7427    Feasible     3608.73	14-12-1-5-4-13-8-6-7-15-2-9-3-10-11    | 12-14-5-1 | 13-6-4-8-7 | 10-11-2-3-9-15 |
 1_15_3_1.0_1.5     28704.5      2356      7275    19073.5       67.2843    Feasible     3609.99	4-7-14-11-8-2-10-5-9-13-12-6-3-1-15    | 8-14-4-7-2-11 | 13-5-9-10 | 6-3-12-1-15 |
 2_15_3_1.0_1.5     22485.5      2271      5190    15024.5       74.4059    Feasible     3608.09	9-14-1-15-4-3-13-7-11-5-6-2-8-10-12    | 15-3-4-13-9-14-1 | 6-5-11-7 | 8-2-10-12 |
 3_15_3_1.0_1.5     29832.9      2708      7275    19849.9       67.7309    Feasible     3673.96	8-12-1-10-5-14-7-9-3-13-6-15-4-2-11    | 12-10-1-5-14-8 | 9-3-13-7 | 2-6-4-15-11 |
 4_15_3_1.0_1.5     35362.5      2263     10545    22554.5       63.8811    Feasible     3615.06	5-9-4-2-1-12-8-11-3-14-10-6-15-7-13    | 5-2-4-1-9 | 3-8-12-11 | 7-14-6-10-15-13 |
 5_15_3_1.0_1.5     29407.6      2806      5580    21021.6       73.0173    Feasible     3624.36	1-4-11-9-2-5-7-8-12-13-14-15-6-10-3    | 2-9-4-1-11 | 12-13-7-8-5 | 14-15-6-10-3 |
 1_15_3_1.0_2.0       24105      2619      4410      17076       78.4403    Feasible     3616.83	3-14-4-2-13-10-9-6-7-8-12-11-1-5-15    | 13-3-10-2-14-4 | 8-6-7-9-12 | 15-1-11-5 |
 2_15_3_1.0_2.0     23534.2      2551      4380    16603.2        73.143    Feasible     3620.02	5-6-2-9-8-11-4-10-7-14-13-3-15-12-1    | 9-2-6-5 | 7-11-14-8-10-4 | 13-15-1-12-3 |
