       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  1_8_3_1.0_0.5     10287.8      1659      2880     5748.8    0.00711996     Optimal     380.858	2-3-5-1-6-7-8-4    | 3-2-5 | 6-1 | 8-7-4 |
  2_8_3_1.0_0.5      9061.3      1937      2968     4156.3             0     Optimal     84.7822	5-3-8-2-1-6-4-7    | 8-5-3 | 1-2 | 6-4-7 |
  3_8_3_1.0_0.5     10429.9      2177      2456     5796.9    0.00500382     Optimal     172.814	1-2-8-7-4-6-3-5    | 8-1-2 | 7-4-6 | 5-3 |
  4_8_3_1.0_0.5     10466.4      1874      3640     4952.4    0.00335222     Optimal     375.291	5-8-4-7-2-1-3-6    | 5-4-8 | 2-7 | 3-1-6 |
  5_8_3_1.0_0.5      6221.1      1831      2400     1990.1             0     Optimal     121.033	8-4-5-2-6-3-7-1    | 4-8 | 6-2-5 | 1-3-7 |
  1_8_3_1.0_1.0      6140.1      1645      1544     2951.1    0.00220094     Optimal     235.059	2-1-6-4-3-7-5-8    | 2-1-6 | 4-3 | 8-7-5 |
  2_8_3_1.0_1.0      9516.6      1786      3600     4130.6    0.00361136     Optimal      558.57	3-8-7-1-4-5-6-2    | 7-8-3 | 4-1 | 2-6-5 |
  3_8_3_1.0_1.0     10069.8      2209      3368     4492.8             0     Optimal     145.511	2-5-8-1-4-6-7-3    | 2-8-5 | 4-1 | 7-6-3 |
  4_8_3_1.0_1.0        8778      1908      1888       4982             0     Optimal     95.8959	3-4-8-1-2-6-5-7    | 3-4-8 | 6-1-2 | 7-5 |
  5_8_3_1.0_1.0      7566.2      1739      2616     3211.2             0     Optimal     190.044	4-2-7-6-1-3-8-5    | 2-7-4-6 | 3-1 | 8-5 |
  1_8_3_1.0_1.5      5139.1      1938      1024     2177.1             0     Optimal     30.6439	1-2-7-4-8-6-3-5    | 7-2-1 | 8-6-4 | 3-5 |
  2_8_3_1.0_1.5      8667.4      2018      2376     4273.4    0.00720876     Optimal     239.819	3-2-5-6-1-4-8-7    | 3-6-2-5 | 1-4 | 7-8 |
  3_8_3_1.0_1.5      9284.2      1625      3736     3923.2    0.00460626     Optimal     348.661	7-6-1-4-5-2-8-3    | 7-6 | 1-5-2-4 | 3-8 |
