       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                                      Vehicle_Routes
 1_20_3_1.0_0.5     62152.1      4062     11920    46170.1         76.81    Feasible     3614.04	19-7-9-18-12-11-13-20-17-15-4-16-6-8-14-1-3-5-2-10    | 18-12-9-19-7 | 4-15-16-11-20-17-13 | 3-10-1-14-2-5-6-8 |
 2_20_3_1.0_0.5     63818.1      3352     14160    46306.1       74.3797    Feasible     3614.74	8-7-19-6-12-13-20-2-15-1-10-3-9-18-4-17-11-16-14-5    | 6-7-8-12-19 | 15-1-3-13-2-10-20 | 14-9-17-4-16-18-11-5 |
 3_20_3_1.0_0.5     58576.8      3563     10500    44513.8       77.9064    Feasible     3614.32	13-5-8-15-20-9-14-2-3-4-10-19-16-12-11-18-1-7-6-17    | 15-20-5-8-13-9-14 | 4-16-2-19-10-12-3 | 17-18-11-7-6-1 |
 4_20_3_1.0_0.5     53304.7      3514      9600    40190.7       78.0487    Feasible     3608.64	1-2-5-10-12-16-18-4-14-8-17-3-15-11-20-6-13-9-19-7    | 2-16-18-4-12-1-10-5 | 14-3-15-11-8-17-20 | 6-7-19-9-13 |
 5_20_3_1.0_0.5     62565.3      3509     13560    45493.3       74.7898    Feasible     3615.23	16-1-13-17-8-9-10-6-19-2-14-12-7-15-4-3-18-5-20-11    | 8-1-10-16-6-9-17-13 | 12-7-19-2-14-15 | 18-5-20-3-11-4 |
 1_20_3_1.0_1.0       57415      3121     11140      43154       76.8858    Feasible     3609.03	1-8-20-3-2-6-10-17-13-12-4-16-7-15-14-18-5-19-11-9    | 1-8-20-2-3-10-6 | 13-16-4-12-7-17 | 11-14-15-5-9-19-18 |
 2_20_3_1.0_1.0     45292.4      3061     12780    29451.4       67.3086    Feasible     3619.36	11-14-17-12-16-6-4-18-15-1-8-20-9-13-5-7-3-2-10-19    | 12-4-6-11-17-14-16 | 1-9-8-20-18-15 | 13-3-10-7-2-19-5 |
 3_20_3_1.0_1.0     53463.6      3284     11200    38979.6       74.8337    Feasible     3617.49	5-15-12-10-1-17-11-16-20-6-9-3-4-2-19-18-13-7-8-14    | 1-17-12-11-10-15-5 | 2-6-16-4-20-9-3 | 13-19-7-14-8-18 |
 4_20_3_1.0_1.0     50832.6      3066     10360    37406.6         74.88    Feasible     3613.86	15-12-8-5-18-9-14-6-16-11-7-4-13-19-10-2-20-17-1-3    | 9-18-14-8-12-15-5 | 16-7-6-4-11-13-19 | 17-1-20-10-3-2 |
 5_20_3_1.0_1.0     59018.7      3244     13740    42034.7       72.8217    Feasible     3609.36	1-13-18-11-2-4-20-15-5-9-12-8-6-7-10-19-16-17-3-14    | 18-1-13 | 5-4-15-20-11-9-2 | 8-6-7-12-17-16-19-3-10-14 |
